Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран
"Ultra HD (4K) LED телевизор 55"" LG NanoCell 55NANO80VPA",64 999 р.,5,11,Индонезия,1 год,,,"55"" (139.7 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,300x300 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",ULTRA Surround,,,,,,4 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,,,,,Есть,IPS,,Edge LED,,,2.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GGU 7970A",58 999 р.,5,31,Турция,1 год,Android TV,64.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital/ DTS,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,79.3 см,123.9 см,32.6 см,,,,,,,,"PAL, SECAM",,20 Вт,14 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Realme TV 50 RMV2005",29 999 р.,5,35,Китай,1 год,Android TV,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,,,,,Есть,200x200 ,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ","Dolby Atmos, DTS",,,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,70.7 см,111 см,25.9 см,64.7 см,111 см,7.5 см,9.2 кг,9 кг,Черный ,16:9,"PAL, SECAM",4 ,24 Вт,,,,,,,,60 Гц ,,,,,,,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GGU 8960",84 999 р.,5,18,Турция,1 год,Android TV,111 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,91.7 см,145.4 см,37.2 см,,,,,,,,"PAL, SECAM",,20 Вт,20.8 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,Dolby Vision,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Sony KD-55X85K",97 499 р.,5,11,Бельгия,1 год,Android TV,122 Вт,"55"" (139.7 см) ",Triluminos ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,300x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,Есть,,,,4 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,"PAL, SECAM",2 ,20 Вт,,,,11.0,,16 ГБ,,120 Гц ,,,,Есть,,,,Motionflow XR 960,Direct LED,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Grundig 50 GGU 7900B",51 999 р.,5,23,Турция,1 год,Android TV,54.1 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,72.1 см,112.2 см,24 см,,,,,,Черный ,,"PAL, SECAM",,20 Вт,11.2 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GGU 7900B",59 999 р.,5,28,Турция,1 год,Android TV,84.1 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,91.8 см,145.9 см,29.2 см,,,,,,Черный ,,"PAL, SECAM",,20 Вт,19.6 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GGU 7950A",42 999 р.,5,45,Турция,1 год,Android TV,51.1 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital/ DTS,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,63.1 см,96.8 см,24 см,,,,,,Серый ,,"PAL, SECAM",,20 Вт,8.95 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Philips 50PUS7956/60",27 999 р.,4,47,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x300 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,Есть,,,,,,2.0,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Philips 32PHS5505/60",9 999 р.,5,52,Россия,1 год,,24 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,,Есть,,Есть,100x100 ,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Incredible Surround,,,,,,2 ,1.4,,,Есть,Есть,,Есть ,,,,,,,,,,,,,45.39 см,73.26 см,16.65 см,4 кг,,Черный ,16:9,"PAL, SECAM",2 ,5 Вт,3.9 кг,,,,,,,50 Гц ,,,,,,,,350 PPI,,,,,,Pixel Plus HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Toshiba 55C350KE",39 999 р.,5,190,Россия,1 год,VIDAA,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,200x300 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,,Есть,Есть,,,3 ,2.1,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,75.8 см,,,,,,16:9,"PAL, SECAM",2 ,2 x 8 Вт,,,,,,,,60 Гц ,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Philips 65PUS7406/60",44 999 р.,5,49,Россия,1 год,Android TV,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,86.73 см,144.75 см,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N5000AU",21 999 р.,5,20,Россия,1 год,,59 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,2 ,1.4,,,Есть,,,Есть ,1,,,,,,,,Есть ,46.54 см,73.74 см,15.05 см,,,,,,,16:9,"PAL, SECAM",2 ,10 Вт,,,,,,,,50 Гц ,,,,,,,,,,,,,,Hyper Real,,Samsung,,,Есть,,,,,1 ,,,,,Есть ,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GGU 7970A",77 999 р.,5,27,Турция,1 год,Android TV,84.1 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,92.2 см,145.9 см,37.2 см,,,,,,Серый ,,"PAL, SECAM",,20 Вт,19.35 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Hisense 43A5730FA",17 999 р.,5,126,Россия,1 год,,,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,,Есть ,,,,,Есть ,Есть,Есть,Есть,200x100 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,,,,,,,1.4,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,60.6 см,95.5 см,18.2 см,,,,,,,16:9,,2 ,2 x 7 Вт,,1200 :1,,,,,,60 Гц ,,178 ° ,,,,,,,Direct LED,,,,,MSD6683,,,,,,"MP3, AVI, MKV",,,,,,,,,,Есть ,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Toshiba 65C350KE",54 999 р.,5,45,Россия,1 год,VIDAA,150 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,34 Вт,Есть,Есть,,,3 ,2.1,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 x 7 Вт,,,,,,,,60 Гц ,,,,,,,IPS,,,,,,,Quad Core/NT72671D,,,,,,,,,,,,,,,,,Есть ,20 Вт,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Artel UA43H3502",24 999 р.,5,154,Узбекистан,1 год,Android TV,65 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,,Есть ,Есть,,,Есть,Есть,300x300 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,Есть,,Есть,,2 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,61.5 см,96.2 см,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,9.0,,16 ГБ,2 ГБ,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV MX",23 999 р.,4,120,Россия,1 год,Android TV,86 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,,,1 ,2.0,,,Есть,Есть,Есть,Есть ,2,,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,8 Вт,,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UHD (4K) OLED телевизор 55"" Philips 55OLED807/12",159 999 р.,5,16,Польша,1 год,Android TV,,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,70 Вт,,,,,4 ,2.1,,,Есть,,Есть,Есть ,3,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",4 ,40 Вт,,,,11.0,,,,120 Гц ,,,,,,Есть,,,,,,2.1,Есть,P5 AI Perfect Picture,,,,Есть,,,,,,,,,,Есть,,,Есть ,30 Вт,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Витязь 50LU1204 Smart",17 999 р.,4,109,Беларусь,1 год,Android TV,179 Вт,"50"" (127 см) ",,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,,Есть ,,,,200x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,,,3 ,,,Есть,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,71 см,112 см,25.8 см,,,,16:9,"PAL, SECAM",2 ,8 Вт,10.9 кг,,Есть,Android 9.0,250 кд/м² ,,,,,,,,,Есть,,,,,,,,,,,,,,"MP3, JPEG, MPEG4",,,,,,5000:1,,,,,,,,,,,,,,,,,,,
"LED телевизор 50"" Hi VHIX-50U169TSY Titanium",16 999 р.,5,61,Беларусь,1 год,Яндекс.ТВ,68 Вт,"50"" (127 см) ",,3840x2160 Пикс (4K Ultra HD) ,,,Есть ,,Есть,Есть ,Есть,,,Есть,,200x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",,,,Есть,,,3 ,,,Есть,,,Есть,,2,Есть ,,Есть ,,,,,,77.3 см,123.3 см,25.8 см,71.2 см,123.3 см,8 см,,,Серый ,16:9,"PAL, SECAM",2 ,8 Вт,11.5 кг,,Есть,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier Smart TV MX",28 999 р.,4,116,Россия,1 год,,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,Есть,Есть,4 ,2.0,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier Smart TV MX",28 999 р.,4,116,Россия,1 год,,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,Есть,Есть,4 ,2.0,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIT-32F102SS Silver",9 399 р.,4,82,Беларусь,1 год,,35 Вт,"32"" (81.3 см) ",,1920x1080 Пикс (Full HD) ,,,,,Есть,Есть ,Есть,,,Есть,,,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",,,,,,,3 ,2.2,,Есть,,,Есть,,1,,,,,,,,,"47,4 см",73 см,"18,7 см",43.1 см,73 см,7.8 см,,,Серебристый ,16:9,"PAL, SECAM",2 ,8 Вт,3.6 кг,,Есть,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Toshiba 43C350KE",27 499 р.,5,109,Россия,1 год,VIDAA,80 Вт,"43"" (109.2 см)",LED,3840x2160 Пикс (4K Ultra HD),Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,200x300,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2",DTS Studio Sound,,,Есть,,,3,2.1,,,Есть,,Есть,Есть,2,Есть,Есть,Есть,,,,,Есть,,,,,,,,,,16:10,"PAL, SECAM",2,2 x 7 Вт,,,,VIDAA U5.0,,,,60 Гц,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Витязь 55LU1207 Smart",19 999 р.,4,96,Беларусь,1 год,Android TV,,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,,400x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,79 см,124.8 см,,,,,,,,16:9,"PAL, SECAM",2 ,8 Вт,,5000:1,Есть,,250 кд/м² ,,,,178 °,178 ° ,8 мс,,,,,,,,,,Есть,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Grundig 32 GGH 6900B",24 999 р.,5,21,Турция,1 год,Android TV,27.2 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,2 ,2.0,,,,,,Есть ,1,,Есть,Есть ,,,,,Есть ,45.5 см,72.1 см,16.8 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,3.6 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" Grundig 55 OLED GG 970B",149 999 р.,5,24,Турция,1 год,Android TV,101 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,79.4 см,122.8 см,31.7 см,,,,,,,,"PAL, SECAM",,20 Вт,25 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,Dolby Vision,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Haier 65 Smart TV MX",54 999 р.,5,63,Китай,1 год,Android TV,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,400x200 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,,Есть,Есть,,4 ,,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,89.9 см,144.8 см,30 см,,,,,,,16:9,"PAL, SECAM",2 ,10 Вт,,,,9.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Novex NWX-24H121WSY",8 699 р.,4,53,Беларусь,1 год,Яндекс.ТВ,25 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,Голосом ,Есть,Есть ,Есть,,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-T2 ",,,,,Есть,,1 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,,,,36.3 см,55.2 см,15.1 см,,,Белый ,16:9,"PAL, SECAM",2 ,3 Вт,2.5 кг,,Есть,,,,,50 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" LG OLED55C14LB",139 999 р.,5,135,Россия,1 год,WebOS,109 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,300x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",OLED Surround,40 Вт,,,,,4 ,2.1,,,Есть,,Есть,Есть ,3,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,,2x10 Вт,,,,,,,,120 Гц ,,,,,,Есть,,,,Есть,,2.2,,,,,,,,,Есть,,,,,,,,,,Есть ,2x10 Вт,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N4010AUXRU",13 999 р.,5,116,Россия,1 год,,,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,,Есть,,2 ,1.4,,,Есть,,,Есть ,1,,,,,,,,Есть ,46.5 см,73.7 см,15 см,43.8 см,72.7 см,7.41 см,3.9 кг,,,16:9,"PAL, SECAM",2 ,10 Вт,3.8 кг,,,,200 кд/м² ,,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,1 ,,,,,Есть ,,,,,,,,,,,,,,,,
"LED телевизор 32"" TCL LED32D3000",8 499 р.,5,14,Китай,1 год,,50 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,Есть,,2 ,,,,,,,Есть ,1,,,,,,,,Есть ,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,10 Вт,,3000 :1,Есть,,200 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,,,,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,Есть,Есть,Есть,Есть,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG 65UQ80006LB",67 199 р.,5,14,Россия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,,,Есть,Есть ,Есть,,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,,,,,2 ,,,,,,,,,Есть ,Есть,Есть ,,,,,Есть ,90.2 см,145 см,26.7 см,,,,,,Серый ,,,2 ,20 Вт,21.8 кг,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Toshiba 65C450KE",74 999 р.,5,28,Китай,1 год,VIDAA,190 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,Есть,Есть,,,3 ,2.1,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.4 см,145.2 см,,,,,,,,,"PAL, SECAM",,20 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Hi VHIX-65U169MSY  ",28 999 р.,4,36,Беларусь,1 год,Яндекс.ТВ,180 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,Есть,,400x400 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,2.0,,Есть,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,89.5 см,145.3 см,25.8 см,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,,Есть,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
