Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран,Преобразование 2D в 3D,Антибликовое покрытие,VGA (D-Sub),Регулировка температуры цвета,Гребенчатый фильтр,Количество каналов,Интерьерный режим,Функция Plug&Play
"Ultra HD (4K) QNED телевизор 75"" LG 75QNED876QB",208 999 р.,5,12,Китай,1 год,WebOS,,"75"" (190.5 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,40 Вт,,,,,4 ,"2.0, 2.1",,,Есть,,,Есть ,2,Есть ,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,120 Гц ,,,,,,Есть,,,Mini LED,,,2.2,Есть,,4,,,Есть,,,,,,,,,,,,,Есть ,20 Вт,,,,,,,,,,,,,,Есть,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Artel A65LU8500",99 999 р.,5,1,Узбекистан,1 год,Android TV,170 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,"2.0, 1.4",,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,12 Вт,,4000:1,,11,350 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,Есть,,,,Есть,,,,,,,,,,"MP3, AVI, DivX, MKV, JPEG, WMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Samsung QE55Q80BAU",119 999 р.,5,8,Россия,1 год,Tizen,156 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,4 ,2.1,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,60 Вт,,,,,,,,100 Гц ,,,,,,Есть,,Quantum Processor 4K 3800,,,,2.2,Есть,,,,,Есть,,,,,,,,,,,,,Есть ,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QNED телевизор 65"" LG 65QNED7S6QA",87 399 р.,5,10,Китай,1 год,WebOS,154 Вт,"65"" (165.1 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,,,,,,,Есть,400x400 ,Есть,Есть,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,4 ,2.0,,,,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,83.4 см,145.2 см,33.6 см,,,,,,Черный ,16:9,,2 ,,,,,,,,,60 Гц ,,,,,,Есть,IPS,,,,,2.0,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Philips 65PUS8507/60",89 999 р.,4,15,Россия,1 год,Android TV,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,,,,,,Есть,,,,,,,"MP3, AVI, MKV, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG NanoCell 55NANO766QA",69 999 р.,5,3,Польша,1 год,Android TV,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,,,Есть,Есть,,300x300 ,,Есть,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,71.5 см,123.5 см,5.5 см,16 кг,14.6 кг,Черный ,,,,24 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" LG 32LM576BPLD",19 999 р.,5,2,Россия,1 год,WebOS,31 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,Есть,,Есть,,,,Есть,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Virtual Surround Plus,10 Вт,Есть,,Есть,,2 ,1.4,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,47.2 см,73.9 см,16.8 см,,,,,4.85 кг,Черный ,16:9,,2 ,,4.9 кг,,,,,,,50 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" COOCAA 43S3G",20 990 р.,5,1,Россия,1 год,Android TV,,"43"" (109.2 см) ",LED ,1280x800 Пикс ,,Есть ,Есть ,,,,,,,,,200x100 ,Есть,,,,DVB-C ,,,,,,,2 ,1.4,,,,,,,,Есть ,Есть,Есть ,,,,,Есть ,,,,63 см,103 см,14 см,,,Черный ,16:10,,,12 Вт,6.2 кг,,,,,,,50 Гц ,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Thomson T32RTE1300",15 290 р.,5,1,Россия,1 год,,40 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,Есть,Есть ,Есть,Есть,Есть,100x100 ,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,2 ,1.4,,,Есть,,,Есть ,2,,,,,,,,,47.6 см,72.6 см,17.9 см,43.1 см,,,,,,16:9,"NTSC, PAL, SECAM",2 ,2 x 10 Вт,,3000:1,,,300 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,,,,Direct LED,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,Есть,Есть,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Harper 50 U 750 TS",27 990 р.,0,0,Беларусь,1 год,Android TV,130 Вт,"49.5"" (125.73 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,,Есть ,Есть,Есть,,,,,Есть,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,"2.0, 1.4",,,,,,Есть ,2,Есть ,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,120000:1,,9,300 кд/м² ,8 ГБ,1.5 ГБ,60 Гц ,178 °,178 ° ,9 мс,,,,IPS,,Direct LED,,Есть,,Есть,Cortex-A53,,ARM,,,,"MP3, AVI, MKV, JPEG, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 50"" TCL 50C635 Smart Black",32 490 р.,0,0,Россия,1 год,Android TV,130 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,,,Есть,Есть,,300x300 ,Есть,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.5 см,144.7 см,31.4 см,83.2 см,,,,,,16:9,,2 ,2х10 Вт,,5000:1,,,,,,60 Гц ,,178 ° ,8 мс,,,Есть,,,,,,,Есть,,,,,,,,,,,,,,Dolby Vision & Atmos,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S3",33 999 р.,5,2,Китай,1 год,Android TV,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,3 ,1.4,,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,5000:1,,11,250 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,Есть,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ75006LF",30 999 р.,0,0,Китай,1 год,WebOS,,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,,Есть,,,,2 ,2.0,,,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,Есть,,Есть,,,Direct LED,,,2.0,,,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" GoldStar LT-24R800",11 990 р.,0,0,Россия,1 год,,100 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,,,,100x100 ,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,1 ,,,,,,Есть,Есть ,2,,,,,,,,Есть ,,,,33 см,55.2 см,8.2 см,,2.8 кг,Черный ,,"PAL, SECAM",2 ,12 Вт,3 кг,80000:1,,,200 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,,,,Direct LED,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,
"LED телевизор 43"" Maunfeld MLT43FSX02",21 790 р.,5,2,Беларусь,1 год,Яндекс.ТВ,60 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1 ,2.0,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,1200:1,,,200 кд/м² ,,,60 Гц ,170 °,170 ° ,8 мс,,,,VA,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Maunfeld MLT43USD02",23 790 р.,5,2,Беларусь,1 год,Android TV,70 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,Есть,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1 ,2.0,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,5000:1,,,200 кд/м² ,,,60 Гц ,170 °,170 ° ,9.5 мс,,,,IPS,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" topdevice TDTV43BS06U_BK",17 690 р.,5,1,Россия,1 год,Android TV,90 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,Есть,Есть,200x200 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,Есть,,,3 ,,,,Есть,,,Есть ,2,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,4000:1,,11,230 кд/м² ,,,,178 °,178 ° ,8 мс,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" topdevice TDTV55BS06U_BK",24 690 р.,5,1,Россия,1 год,Android TV,110 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,Есть,Есть,200x200 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,Есть,,,3 ,,,,Есть,,,Есть ,2,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,6000:1,,11,250 кд/м² ,,,,178 °,178 ° ,8 мс,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" GoldStar LT-32R900",12 490 р.,0,0,Россия,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,,Есть ,,,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-T2 ",,,Есть,,,,2 ,,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,9.0,220 кд/м² ,1 ГБ,8 ГБ,60 Гц ,178 °,178 ° ,8 мс,,,,,,Direct LED,,,2.0,,Cortex-A55 quad core,,ARM,,,,"MP3, AVI, MKV, JPEG, MPEG4",,,,2 ,,100000:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 39"" Supra STV-LC39ST0045W",15 990 р.,0,0,Китай,1 год,Android TV,65 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,,,,Есть,200x200 ,Есть,Есть,,,"DVB-C, DVB-T, DVB-T2 ",,20 Вт,,,,,3 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,55.3 см,89 см,12.2 см,51.1 см,89 см,8.1 см,,,Черный ,16:9,"PAL, SECAM",2 ,2х10 Вт,6.72 кг,,,11,,,,60 Гц ,,,,,,,,,,Есть,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 39"" Supra STV-LC39ST0045W",15 990 р.,0,0,Китай,1 год,Android TV,65 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,,,,Есть,200x200 ,Есть,Есть,,,"DVB-C, DVB-T, DVB-T2 ",,20 Вт,,,,,3 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,55.3 см,89 см,12.2 см,51.1 см,89 см,8.1 см,,,Черный ,16:9,"PAL, SECAM",2 ,2х10 Вт,6.72 кг,,,11,,,,60 Гц ,,,,,,,,,,Есть,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Skyline 32YST5975",11 490 р.,5,1,Россия,1 год,Android TV,48 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,Есть ,Есть,,,,,,,,"DVB-C, DVB-T, DVB-T2 ",,12 Вт,Есть,,Есть,,3 ,1.4,,Есть,,,,Есть ,2,,Есть,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х6 Вт,,,,9.0,230 кд/м² ,8 ГБ,1 ГБ,50 Гц ,178 °,178 ° ,8 мс,,,,TN,,Direct LED,Есть,,,Есть,,,,,,,"MP3, MKV, MPEG4",,,,,,70000:1,Dolby Digital,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG NanoCell 65NANO756QA",99 990 р.,0,0,Индонезия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,WebOS,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,,,,,,Есть,,,Есть,,,,,,,,,,Есть ,,,,,,,,,,,,Есть,,Есть ,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Hisense 55U7HQ Smart Black",70 190 р.,0,0,Китай,1 год,VIDAA,160 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,Есть,,,,4 ,2.1,,,,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,1200:1,,6.0,600 кд/м² ,,,120 Гц ,178 °,178 ° ,,,,Есть,,,Direct LED,,,2.0,,Quad Core/MT9900,,MediaTek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Philips 43PFS6825",20 190 р.,0,0,Россия,1 год,,39 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,Есть ,Есть,Есть,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,,,3 ,1.4,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,,,,,,,60 Гц ,,,,,,Есть,,Pixel Plus HD,,,,,Есть,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" BQ 2402B Black",11 490 р.,0,0,Россия,1 год,,48 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,,,,,,,,,Есть,100x100 ,,Есть,,,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,Есть,,1 ,,,Есть,,,Есть,Есть ,1,,,,,,,,Есть ,36.6 см,55.2 см,15.1 см,33.2 см,55.2 см,6.7 см,,2.1 кг,Черный ,16:9,"PAL, SECAM",,2x3 Вт,2.31 кг,1200:1,,,180 кд/м² ,,,50 Гц ,,,,,,,,,,,,,,,,,,,Есть,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Kivi 32H750NW",15 999 р.,5,12,Беларусь,1 год,Android TV,33 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,,,,,,,Есть,,Есть,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,42.5 см,72.2 см,6.3 см,,,Белый ,,"PAL, SECAM",,16 Вт,4.2 кг,,,9.0,,,,60 Гц ,,,,,,,MVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GHU 7980",46 999 р.,5,4,Турция,1 год,,51.1 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Xiaomi Mi TV A2 32 Black",18 990 р.,0,0,Китай,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,,,,,,,Есть,100x100 ,Есть,Есть,,,"DVB-C, DVB-S2, DVB-T2 ",,20 Вт,,,,,2 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,47.1 см,71.57 см,19.04 см,,,,,,,16:9,,2 ,2х10 Вт,,,,10,,,,60 Гц ,178 °,178 ° ,,,,,,,,Есть,,,,CA55,4,,,,,,,,,,,,"Dolby Audio™, DTS-X, DTS® Virtual:X Sound",,,,,,,,,,,,,,,,,,,,,,,,,,
