Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Тип светодиодной подсветки,Частота обновления,Таймер включения,eARC,Поддерживаемые форматы,Объем встроенной памяти,Акустическая схема,Батарейки для пульта ДУ,Количество ядер процессора,Объемное звучание,Тип матрицы,Угол обзора по вертикали,Угол обзора по горизонтали,Русифицированное меню,Гид по программам,Родительский контроль,Масштабирование,Модель процессора,Яркость,Динамическая контрастность,Время отклика,Количество тюнеров,Чтение карт памяти,Контрастность,Объем оперативной памяти,VGA (D-Sub),Коаксиальный аудиовход,Версия ОС на начало продаж,Любимые каналы,Технологии улучшения изображения,Эквалайзер,Производитель процессора,Автоматическая регулировка громкости,NFC,Композитный выход,Слот для карт памяти,Технологии улучшения звука,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Подсветка Ambilight,Изогнутый экран,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Автоматическая настройка,SCART,Гребенчатый фильтр,Частота процессора,Список программ,Антибликовое покрытие,Дополнительная информация,Поддержка 3D,Количество каналов,Ручная настройка,Встроенное радио
"LED телевизор 24"" Kivi 24H750NB",15 999 р.,5.0,2.0,Беларусь,1 год,Android TV,30 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,,,,Есть,,Есть,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,32.2 см,55 см,6 см,,,Черный ,,"PAL, SECAM",,10 Вт,2.7 кг,,60 Гц ,,,,,,,,,MVA,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GHU 7830",41 999 р.,5.0,5.0,Турция,1 год,Android TV,51.1 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GHU 7930",45 999 р.,5.0,2.0,Турция,1 год,,51.1 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" Toshiba 55X9900LE",174 999 р.,5.0,6.0,Китай,1 год,VIDAA,350 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,Есть ,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio/ Dolby Atmos/ Acoustic Surface Audio+,,Есть,,,,4.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,80 Вт,,,120 Гц ,,,,,,,,,,178 °,178 ° ,,,,Есть,Quad Core,150 кд/м² ,,3 мс,,,150000:1,,,,6.0,,,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Grundig 50 GHU 7930",55 999 р.,5.0,5.0,Турция,1 год,,59.1 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-S2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GHU 7980",59 999 р.,5.0,3.0,Турция,1 год,,77.6 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-S2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GHU 7930",64 999 р.,5.0,5.0,Турция,1 год,,51.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-S2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GHU 7930",78 999 р.,5.0,3.0,Турция,1 год,,101 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GHU 7980",74 999 р.,5.0,4.0,Турция,1 год,,101 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,
"Ultra HD (4K) LED телевизор 75"" Grundig 75 GHU 7930",129 999 р.,0.0,0.0,Турция,1 год,,107 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х15 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,
"Ultra HD (4K) QLED телевизор 75"" Hisense 75U8HQ Smart Black",225 190 р.,0.0,0.0,Китай,1 год,VIDAA,,"75"" (190.5 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,,,Есть,,,,,600x400 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ","Dolby Atmos, DTS Virtual X",,,,,,4.0,,,,,,Есть,Есть ,2.0,Есть ,,Есть ,,,1.0,,Есть ,103.9 см,167.4 см,34.4 см,,,,,,,16:9,"PAL, SECAM",,,38.5 кг,Direct LED,120 Гц ,,,"MP3, AVI, MKV",,2.0,,,,,178 °,,,,,Есть,,,,,,,1200:1,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Xiaomi Mi TV A2, Smart TV",48 890 р.,0.0,0.0,Китай,1 год,Android TV,140 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,,,,,Есть,,Есть,,"DVB-C, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,Есть,,,3.0,2.0,,,,,Есть,Есть ,2.0,,,,,,,,,,,,,,,,,,16:9,,2.0,2х12 Вт,,Direct LED,60 Гц ,,,,16 ГБ,,,4.0,,VA,178 °,178 ° ,,,,Есть,Quad A55,,,,,,,2 ГБ,,,10,,UHD 4K,,,,,,,"Dolby Audio, DTS-HD",,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" Hisense 65A85H Smart Black",175 190 р.,0.0,0.0,Китай,1 год,,,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,,,,Есть ,,,Есть,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM Стерео,,Есть,Есть,,,4.0,,,,,,,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,"Серый, Черный ",16:9,,2.0,6х10 Вт,29 кг,,120 Гц ,,,,,,,,Есть,,178 °,178 ° ,,,Есть,Есть,Quad Core/MT9900,,,,,,150000:1,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,Приложение Anyview Cast. Приложение Anyview Stream. Приложение Smartphone,,,,
"Ultra HD (4K) LED телевизор 55"" Philips 55PUS8057/60 Silver",42 190 р.,0.0,0.0,Россия,1 год,Android TV,90 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4.0,2.0,,,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,2.0,,,,,,,,Есть,,Есть,,,,,,,,,,,11,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" National NX-65TUS120",50 190 р.,0.0,0.0,Россия,1 год,Салют ТВ,60 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,,,,,,,300x200 ,,Есть,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,Есть,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,1.0,,Есть ,89.43 см,,,,,,,,,16:9,,2.0,2 x 8 Вт,,,60 Гц ,,,,8 ГБ,,,,,,176 °,176 ° ,,,,,A53*4 64bit,380 кд/м² ,160000:1,6.5 мс,,,,1.5 ГБ,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) ULED телевизор 65"" Hisense 65U7HQ Smart Black",90 190 р.,0.0,0.0,Китай,1 год,VIDAA,190 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM Стерео,,Есть,Есть,,,4.0,,,,,,,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,Есть ,89.1 см,145.1 см,30.7 см,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,120 Гц ,,,,,,,,Есть,,178 °,,,,Есть,,Quad Core/MT9900,,,,,,5000:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Samsung UE43AU7100",41 290 р.,0.0,0.0,Россия,1 год,Tizen,130 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3.0,1.4,,,Есть,Есть,Есть,Есть ,1.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,Edge LED,60 Гц ,,,,,2.0,,,,,,,,,,Есть,,,,,,,,,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ76003",37 790 р.,0.0,0.0,Россия,1 год,WebOS,71 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2.0,1.4,,,Есть,Есть,Есть,Есть ,,,,,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,,Есть,Есть,Есть,,,,,,,,,,,6.0,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ80006",41 990 р.,0.0,0.0,Россия,1 год,WebOS,71 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2.0,1.4,,,Есть,Есть,Есть,,,,,,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,178 °,178 ° ,,,Есть,Есть,,,,,,,,,,,6.0,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S1",22 990 р.,4.0,3.0,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM Стерео,19 Вт,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,,,Direct LED,60 Гц ,Есть,,,,,,,Есть,,178 °,178 ° ,,,Есть,Есть,,250 кд/м² ,,6.5 мс,,,5000:1,,,,11,,UHD 4K,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Accesstyle U43EY1500B",19 190 р.,0.0,0.0,Россия,1 год,"Яндекс.ТВ, Android TV",60 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,,,,,Есть,,Есть,,"DVB-C, DVB-T, DVB-T2 ",,20 Вт,,,,,3.0,2.0,,,Есть,,,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,60 Гц ,,,,8 ГБ,,,,,MVA,178 °,178 ° ,,,,Есть,,230 кд/м² ,,6.5 мс,,,⩾3000:1,1.5 ГБ,,,,,4K UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Telefunken TF-LED43S97T2SU",18 490 р.,0.0,0.0,Беларусь,1 год,Яндекс.ТВ,60 Вт,"43"" (109.2 см) ",,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,,,,,,,,,Есть,,,Есть,DVB-C ,NICAM стерео,,Есть,,Есть,,3.0,,,Есть,,,Есть,Есть ,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,14 Вт,,,60 Гц ,,,,1.5 ГБ,2.0,,4.0,,,178 °,178 ° ,,,,Есть,A53,230 кд/м² ,,8 мс,,,1200:01,8 ГБ,,,Android 11,,,,ARM,,,,,,,,,,,,Есть,,,,,,Есть,1.1 ГГц,,,,,,,
"Ultra HD (4K) LED телевизор 43"" National NX-43TUS120",19 990 р.,0.0,0.0,Россия,1 год,Салют ТВ,60 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,,,Есть,,Есть,,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3.0,2.0,,Есть,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,1.0,,,,,,,,,,,,16:9,,2.0,2 x 8 Вт,,,60 Гц ,,,,8 ГБ,,,,,,176 °,176 ° ,,,,Есть,A53*4 64bit,300 кд/м² ,160000:1,9.5 мс,,,,1.5 ГБ,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QNED MiniLED телевизор 65"" LG 65QNED876QB",169 990 р.,5.0,1.0,Индонезия,1 год,WebOS,,"65"" (165.1 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",AI Sound Pro,40 Вт,,,,,4.0,,,,,,,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,,120 Гц ,,Есть,,,2.2,,4.0,,,,,,,Есть,Есть,,,,,,,,,,,,,LG ThinQ 240,,,,Есть,,,,,,Есть ,20 Вт,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Samsung UE50BU8500",52 490 р.,0.0,0.0,Россия,1 год,Tizen,145 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,,50 Гц ,,Есть,,,2.0,,,,VA,,,,Есть,,Есть,Crystal Processor 4K,,,,,,,,,,,,UHD 4K,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UQ75006",48 990 р.,0.0,0.0,Россия,1 год,WebOS,101 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2.0,2.0,,,,,Есть,Есть ,1.0,Есть ,Есть,,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,,,Есть,Есть,,,,,,,,,,,6.0,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO826QB",68 590 р.,0.0,0.0,Россия,1 год,WebOS,99 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,4.0,2.0,,,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 x 10 Вт,,Direct LED,60 Гц ,,,,,2.0,,,,,,,,,Есть,Есть,,,,,,,,,,,6.0,,4K NanoCell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO766QA",61 590 р.,0.0,0.0,Россия,1 год,WebOS,97 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2.0,2 х 10 Вт,,Direct LED,60 Гц ,,,,,2.0,,4.0,,,,,,,,Есть,,,,,,,,,,,6.0,,4K NanoCell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Samsung UE50AU7100",48 990 р.,0.0,0.0,Россия,1 год,Tizen,145 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3.0,2.0,,,,,Есть,Есть ,1.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,,60 Гц ,,Есть,,,2.0,,,,VA,,,,Есть,,Есть,,,,,,,,,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QNED телевизор 55"" LG 55QNED816QA",83 990 р.,0.0,0.0,Россия,1 год,WebOS,120 Вт,"55"" (139.7 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,Есть,,,,4.0,2.1,,,Есть,,Есть,Есть ,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,Edge LED,120 Гц ,,Есть,,,2.0,,,,,178 °,178 ° ,,,Есть,Есть,,,,,,,,,,,6.0,,4K NanoCell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG 55UQ80006",52 490 р.,0.0,0.0,Россия,1 год,WebOS,120 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,Есть,,,,2.0,2.0,,,,,Есть,Есть ,1.0,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,,,Есть,Есть,,,,,,,,,,,6.0,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Samsung UE55BU8500",76 990 р.,0.0,0.0,Россия,1 год,Tizen,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3.0,2.0,,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2.0,2 х 10 Вт,,Edge LED,60 Гц ,,Есть,,,2.0,,4.0,,VA,178 °,178 ° ,,Есть,,Есть,Crystal Processor 4K,,,,,,,,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" LG 75UQ80006",124 590 р.,0.0,0.0,Россия,1 год,WebOS,184 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,Есть,,,,2.0,2.0,,,Есть,,Есть,Есть ,1.0,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2 х 10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,,,Есть,Есть,,,,,,,,,,,6.0,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" BQ 50SU03B Black",23 190 р.,5.0,1.0,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,,,,,,,,,,Есть,,,,,,Есть,Есть,,,3.0,,,Есть,,,Есть,Есть ,2.0,,Есть,Есть ,,,,,Есть ,,,,65 см,112.7 см,9.3 см,,,Черный ,16:9,,2.0,2 x 8 Вт,7 кг,Direct LED,60 Гц ,,,,,,Есть,,,,170 °,170 ° ,,,,,,,,,,,4000:1,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
